EbayProductName,WickesURL
Dip Treated Fence panels 6' x 3'/4'/5'/6'_______*******_______6' x 6',https://www.wickes.co.uk/Wickes-Dip-Treated-Overlap-Fence-Panel---6-x-6ft/p/540053?_br_psugg_q=6+x+6+fence+panel
Sharp Sand Handy Bag 25KG,https://www.wickes.co.uk/Tarmac-Sharp-Sand---Major-Bag/p/131881
Concrete Mix High Strength 40n Ready To Use (Blue Circle),https://www.wickes.co.uk/Blue-Circle-High-Strength-40N-Ready-To-Use-Concrete---20kg/p/133771
Building Sand Handy Bag 25KG,https://www.wickes.co.uk/Tarmac-Building-Sand---Major-Bag/p/132008?_br_psugg_q=building+sand
Forest Garden Dip Treated Closeboard Fence Panel - 6 x 6ft,https://www.wickes.co.uk/Forest-Garden-Dip-Treated-Closeboard-Fence-Panel---6-x-6ft/p/286638?_br_psugg_q=closeboard+fence+panel
Thistle MultiFinish Plaster 25 kg ,https://www.wickes.co.uk/British-Gypsum-Thistle-Multi-Finish-Plaster---25kg/p/220056
Dip Treated Fence panels 6' x 3'/4'/5'/6'_______*******_______6' x 5',https://www.wickes.co.uk/Wickes-Dip-Treated-Overlap-Fence-Panel---6-x-5ft/p/540052
Dip Treated Fence panels 6' x 3'/4'/5'/6'_______*******_______6' x 4',https://www.wickes.co.uk/Wickes-Dip-Treated-Overlap-Fence-Panel---6-x-4ft/p/540051
BARK Chippings - 100L,https://www.wickes.co.uk/Wickes-Bark-Chippings---100L/p/185213?_br_psugg_q=bark+chippings
Cement - Blue Circle General Purpose Grey 25kg,https://www.wickes.co.uk/Blue-Circle-General-Purpose-Cement---25kg/p/224661
Treated Timber Decking Board - 25 x 120 x (1800mm/2400mm/3600mm)_______*******_______1800mm,https://www.wickes.co.uk/Wickes-Standard-Treated-Deck-Board---25-x-120-x-1800mm/p/145255
Decking Board 25 x 120 x (1800mm/2400mm/3600mm)_______*******_______3600mm,https://www.wickes.co.uk/Wickes-Standard-Treated-Timber-Deck-Board---25-x-120-x-3600mm/p/294385
Cement - Blue Circle Plastic Cement Mastercrete 25kg,https://www.wickes.co.uk/Blue-Circle-Mastercrete-Cement---25kg/p/154100
Blue Circle Ready to Use Postcrete 20kg  Post Fixing Product Just Add to Water,https://www.wickes.co.uk/Blue-Circle-Ready-To-Use-Postcrete---20kg/p/221100
Top Soil - 25L ,https://www.wickes.co.uk/Wickes-Top-Soil---25L/p/200247
Decking Board 25 x 120 x (1800mm/2400mm/3600mm)_______*******_______2400mm,https://www.wickes.co.uk/Wickes-Standard-Treated-Deck-Board---25-x-120-x-2400mm/p/114551
Super Lap Pressure Treated Fence Panel 6'x6'_______*******_______6' x 6',https://www.wickes.co.uk/Wickes-Pressure-Treated-Overlap-Fence-Panel---6-x-6ft/p/145608
Decking Board 25 x 120 x (1800mm/2400mm/3600mm)_______*******_______1800mm,https://www.wickes.co.uk/Wickes-Standard-Treated-Deck-Board---25-x-120-x-1800mm/p/145255
Decking Board Treated Timber 27 x 144 x 2400mm/3600mm_______*******_______3600mm,https://www.wickes.co.uk/Wickes-Pro-Timber-Deck-Board---27-x-144-x-3600mm/p/294374
P5 Tongue & Groove Chipboard Flooring - 18/22 x 600 x 2400mm_______*******_______18mm,https://www.wickes.co.uk/P5-Tongue+Groove-Chipboard-Flooring---18-x-600-x-2400mm/p/164516
Super Lap Pressure Treated Fence Panel 6'x6'_______*******_______6' x 5',https://www.wickes.co.uk/Forest-Garden-Pressure-Treated-Overlap-Fence-Panel---6-x-5ft/p/145599
Blue Circle Quality Assured Ready Mixed Mortar 20kg Bag,https://www.wickes.co.uk/Blue-Circle-Quality-Assured-Mortar-Mix---20kg/p/153706
Super Lap Pressure Treated Fence Panel 6'x6'/5'_______*******_______6' x 6',https://www.wickes.co.uk/Wickes-Pressure-Treated-Overlap-Fence-Panel---6-x-6ft/p/145608
Peat Free Multi-Purpose Compost - 50L,https://www.wickes.co.uk/Wickes-Peat-Free-Multi-Purpose-Compost---50L/p/236296
Yellow Building Sand Handy Bag 25KG,https://www.wickes.co.uk/Tarmac-Yellow-Building-Sand---Major-Bag/p/131893
Decking Board Treated Timber 27 x 144 x 2400mm/3600mm_______*******_______2400mm,https://www.wickes.co.uk/Wickes-Pro-Timber-Deck-Board---27-x-144-x-2400mm/p/294349
Dip Treated Fence panels 6' x 3'/4'/5'/6'_______*******_______6' x 3',https://www.wickes.co.uk/Wickes-Dip-Treated-Overlap-Fence-Panel---6-x-3ft/p/540050
"OSB 3 18mm x 2440mm x 1220mm (8"" x 4"")",https://www.wickes.co.uk/General-Purpose-OSB-3-Sheet---18-x-1220-x-2440mm/p/110517
Tarmac Kiln Dried Paving Sand - Large Bag 20kg (4m squared coverage),https://www.wickes.co.uk/Tarmac-Kiln-Dried-Paving-Sand---Large-Bag/p/236668
Cement - Blue Circle Plastic Cement Mastercrete 12.5kg Handy Bag,https://www.wickes.co.uk/Blue-Circle-Mastercrete-Cement-Handy-Pack---12-5kg/p/149005
Roundup Pump n' Go Ready to Use Weedkiller - 5L,https://www.wickes.co.uk/Roundup-Speed-Ultra-Pump-n-Go-Weed-Killer---5L/p/222084
Top Soil Multi Purpose Soil For Lawns and Planting - 25L,https://www.wickes.co.uk/Wickes-Top-Soil---25L/p/200247?_br_psugg_q=topsoil
Dulux Weathershield All Weather Purpose Smooth Masonry Paint - Ashen White- 5L,https://www.wickes.co.uk/Dulux-Weathershield-All-Weather-Purpose-Smooth-Paint---Ashen-White---5L/p/278469
Roundup Speed Ultra Pump n Go Weed Killer - 5L,https://www.wickes.co.uk/Roundup-Speed-Ultra-Pump-n-Go-Weed-Killer---5L/p/222084
